GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2016;05122;Solingen, kreisfreie Stadt;2322;2132;2917;3892;2510;1987;4587;4746;4515;4429;4497;6167;7140;6114;4677;7057;7438;2194;1980;2792;3578;2472;1551;4306;4764;4663;4800;4631;6377;7093;6178;4899;8078;11425
31.12.2016;05124;Wuppertal, kreisfreie Stadt;5287;4978;6436;8374;5368;4000;11241;12559;11420;10602;9926;13281;14762;12932;9903;15817;15369;5049;4573;6276;7945;5122;3706;10641;11808;10785;10223;10167;12949;14496;12745;10902;18386;24362
31.12.2016;05154;Kleve, Landkreis;4177;4153;5679;7654;5207;3789;10101;10028;9261;9055;8738;12390;14214;12349;10258;14822;12816;4062;3943;5259;7250;4811;3359;8485;8886;8711;8456;8678;12548;13928;12160;10427;15644;19031
31.12.2016;05158;Mettmann, Landkreis;6816;6438;8783;11401;7640;5221;12342;12620;12499;13069;13391;19020;21693;18731;14944;24035;25594;6423;6216;8372;10936;6932;4800;10907;12339;13300;13760;14264;19592;21997;19481;16175;28533;36506
31.12.2016;05162;Rhein-Kreis Neuss;6450;6330;8427;11049;7211;5008;11389;11922;12292;12996;13157;18049;19952;17075;13767;21131;21233;6144;5892;8118;10210;6684;4401;10235;11571;12725;13982;14015;18476;20140;17690;14939;24537;30234
31.12.2016;05166;Viersen, Landkreis;3811;3727;5231;7120;4866;3644;8335;8194;7844;8019;8152;12342;14415;12303;9766;14323;13724;3674;3546;5062;6890;4797;3123;7366;7509;7807;8309;8731;12751;14367;12328;10061;16224;20061
31.12.2016;05170;Wesel, Landkreis;5935;5795;7837;10639;7187;5172;12860;13549;12442;12522;12308;17702;20793;19050;16144;23321;22154;5745;5405;7450;9983;6699;4612;10879;12313;12543;12844;12794;18576;21298;19624;17018;25953;32569
31.12.2016;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2016;05314;Bonn, kreisfreie Stadt;5192;4799;6385;7781;4780;3725;11279;12588;11468;10511;9531;11393;12060;10076;8057;11873;11995;4960;4614;5868;7191;4463;3852;12626;13553;12393;11122;10046;11702;12361;10776;8947;14651;19507
31.12.2016;05315;Köln, kreisfreie Stadt;17361;15016;19574;22794;14239;10663;33769;44876;43669;40132;36971;42460;42301;33580;25859;41250;40276;16682;14182;18436;21439;13287;10298;37831;48546;45413;40868;35945;40191;40203;33576;28672;48648;56928
31.12.2016;05316;Leverkusen, kreisfreie Stadt;2390;2356;3089;4032;2550;1815;4380;5029;4770;4774;4853;6554;7140;6117;4444;6933;8117;2296;2148;2889;3657;2277;1586;4142;4966;4884;5042;4926;6394;6971;6156;5105;8484;11847
31.12.2016;05334;Städteregion Aachen, Landkreis;7577;7013;9352;12145;8397;8267;26664;24713;18332;15333;14749;19912;22113;19727;16218;24448;23539;7206;6495;8724;11676;7699;6340;19002;19191;16105;15315;15132;20018;21712;19661;17116;27659;34922
31.12.2016;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2016;05358;Düren, Landkreis;3628;3343;4945;6379;4374;3312;8431;8281;7468;7318;7250;10076;11630;10459;8755;12635;11552;3430;3235;4441;5900;4108;2927;6962;7291;7088;7284;7432;10262;11565;10599;9317;13647;16748
31.12.2016;05362;Rhein-Erft-Kreis;7024;6539;8742;11386;7558;5356;12930;13263;12910;13511;13743;18525;20570;17729;14312;22418;20968;6401;6150;8487;10559;6977;4925;11786;12498;13208;14337;14475;19033;20787;18028;15600;25562;29252
31.12.2016;05366;Euskirchen, Landkreis;2586;2506;3438;4715;3266;2360;5426;5374;5250;5183;5261;7512;8890;8094;6649;9440;8568;2464;2346;3269;4461;3117;2092;4592;5027;4980;5329;5442;7656;8996;7991;6645;10010;12267
31.12.2016;05370;Heinsberg, Landkreis;3460;3279;4644;6324;4351;3307;7446;7636;7070;7083;7082;9893;11591;10531;8550;11865;10873;3304;3207;4261;5851;3987;2904;6357;6751;7030;7321;7442;10163;11577;10367;8686;12585;15873
31.12.2016;05374;Oberbergischer Kreis;3912;3800;5083;6910;4849;3448;8472;8080;7703;7634;7451;10263;12181;10914;8607;12453;12566;3705;3594;5016;6653;4596;3150;6954;7152;7331;7737;7775;10718;12153;11026;9080;13539;18634
31.12.2016;05378;Rheinisch-Bergischer Kreis;3801;3851;5265;7177;4783;3342;7461;6836;6975;7379;7803;11377;13114;11322;8742;13696;14811;3641;3506;4954;6561;4376;3054;6376;6655;7233;7897;8478;11985;13648;11447;9250;16042;20466
31.12.2016;05382;Rhein-Sieg-Kreis;8824;8644;11800;15434;10418;7311;16959;17043;16481;16485;16612;23581;26614;23185;18434;28174;27181;8108;7900;10996;14285;9491;6581;15054;15800;16228;17808;17731;24349;27313;23872;19747;31881;37530
31.12.2016;05512;Bottrop, kreisfreie Stadt;1569;1416;1964;2619;1919;1343;3422;3583;3313;3506;3360;4535;5076;4738;4014;5711;5107;1419;1347;1907;2452;1680;1237;2931;3332;3337;3334;3352;4608;5186;4980;4287;6432;8393
31.12.2016;05513;Gelsenkirchen, kreisfreie Stadt;4009;3611;5110;6508;4346;3176;8428;9579;8255;8024;8119;10102;10751;9831;8217;12087;10623;3740;3382;4687;5781;3879;2705;7461;8351;7605;7553;7549;9624;10052;9735;8724;13100;17824
31.12.2016;05515;Münster, kreisfreie Stadt;4669;3960;5238;6295;4096;3647;13729;15233;12752;9915;8979;10416;11082;9605;7826;10920;11050;4266;3777;4888;5888;3799;4212;17673;15830;12382;9844;8639;10580;11605;10095;8459;12567;17930
31.12.2016;05554;Borken, Landkreis;5473;5261;7476;10051;7080;5049;12193;11728;10821;10696;10964;15147;17058;14190;11171;15547;14492;5280;5115;7139;9594;6486;4370;10274;10672;10424;10463;10862;14638;16421;13867;11357;16203;21664
31.12.2016;05558;Coesfeld, Landkreis;3090;2979;4077;5671;4117;2959;6600;6058;5934;6054;6339;8736;10119;8902;7394;10055;9091;3040;2732;3830;5343;3817;2654;5438;5281;5769;6022;6435;8929;10286;9211;7509;10764;13784
31.12.2016;05562;Recklinghausen, Landkreis;8264;7853;10669;14193;9864;7100;17377;17815;17018;17156;17780;24263;26796;24802;21349;30908;28112;7757;7332;10019;13263;9049;6289;15342;16582;16395;17419;18040;24498;26817;25814;22954;34217;44089
31.12.2016;05566;Steinfurt, Landkreis;6627;6308;8779;11876;8542;6136;14265;13441;12595;12608;12974;18177;20227;17248;13670;19279;18462;6124;5951;8137;11281;7748;5351;11690;11753;11980;12279;13233;18266;20045;17043;13869;20499;27946
31.12.2016;05570;Warendorf, Landkreis;3929;3835;5350;7456;5187;3623;8305;8014;7857;7660;8220;11203;12309;10747;8782;12718;12066;3760;3592;5009;7085;4880;3241;6851;7091;7245;7914;8325;10996;12102;10839;9220;13794;18539
31.12.2016;05711;Bielefeld, kreisfreie Stadt;5022;4635;6322;8054;5274;4072;10779;12602;11586;10062;9898;12149;12965;10743;9042;13382;14522;4775;4467;5874;7528;4937;3955;11972;12867;11542;10200;10108;11825;12641;11420;9945;15496;22790
31.12.2016;05754;Gütersloh, Landkreis;5422;5115;7059;9676;6569;4638;11649;11867;11255;10797;10948;14753;16135;13792;10711;15083;15321;5137;4886;6724;8986;6035;4244;9577;10038;10260;10387;11176;14338;15779;13508;10976;16324;22663
31.12.2016;05758;Herford, Landkreis;3521;3374;4736;6110;4308;3073;7189;7434;6944;7021;7215;9765;11064;9879;7860;11564;11978;3382;3104;4423;5898;3921;2760;6204;6642;6953;7010;7453;9878;10923;9964;8198;12560;18766
31.12.2016;05762;Höxter, Landkreis;1812;1806;2548;3595;2546;1855;4395;4225;3824;3737;3807;5451;6420;5890;4991;6818;6898;1761;1629;2463;3423;2399;1650;3456;3493;3481;3637;3944;5487;6166;5840;4897;7190;10321
31.12.2016;05766;Lippe, Landkreis;5079;5033;6884;9079;6027;4288;10539;10623;9704;9272;9241;12961;14565;13588;10950;16305;17035;4766;4648;6524;8453;5713;3931;9264;9162;9119;9403;9659;13135;14847;13579;11538;17978;26041
31.12.2016;05770;Minden-Lübbecke, Landkreis;4577;4208;5953;8187;5446;3879;9256;9543;9052;8463;8540;12010;13357;12380;9804;14291;14871;4254;4067;5623;7470;5097;3428;7957;8327;8151;8395;8752;12094;13368;12529;10236;15659;22642
31.12.2016;05774;Paderborn, Landkreis;4829;4328;6024;7818;5380;4063;11288;12020;10830;9400;9005;11397;12558;11307;9305;12127;11199;4550;4312;5606;7270;4860;3506;9832;10333;9678;9231;9105;11038;12126;11339;9457;13013;17064
31.12.2016;05911;Bochum, kreisfreie Stadt;4727;4422;5894;7427;5123;3957;12577;14591;12673;10801;10036;13122;14434;13144;11503;16947;16214;4639;4035;5320;6905;4592;3565;12034;13611;11929;10562;10104;13131;14287;13662;12305;19728;26919
31.12.2016;05913;Dortmund, kreisfreie Stadt;8564;7664;10197;13100;8805;6713;19919;23037;20382;18213;17398;22170;23384;20340;17293;25743;24975;8336;7422;9918;12311;7730;5983;18255;21086;19077;18289;17484;21234;23103;20486;18615;29703;38884
31.12.2016;05914;Hagen, kreisfreie Stadt;2782;2536;3415;4624;3026;2081;5516;5972;5600;5344;5216;7010;7995;7048;5833;8802;8877;2593;2403;3322;4291;2803;2078;5083;5616;5117;5187;5424;7065;7768;7217;6169;10231;14222
31.12.2016;05915;Hamm, kreisfreie Stadt;2623;2446;3527;4515;3192;2281;5887;5839;5412;5505;5584;6805;7091;6377;5357;8209;7559;2534;2412;3282;4273;2873;2120;5095;5497;5204;5372;5465;6624;7030;6591;6056;9142;11792
31.12.2016;05916;Herne, kreisfreie Stadt;2172;2041;2633;3523;2500;1818;4841;5272;4524;4721;4969;6165;6693;5860;4837;7374;6802;1984;1964;2537;3343;2352;1683;4476;4782;4419;4393;4679;5989;6211;5896;5380;8461;11480
31.12.2016;05954;Ennepe-Ruhr-Kreis;4206;3983;5365;7151;4963;3555;9045;9492;9066;8737;8637;12934;14768;12848;10739;16498;16074;4074;3843;5066;6632;4456;3174;8100;8887;8789;8956;9108;13124;14906;13187;11742;18800;24469
31.12.2016;05958;Hochsauerlandkreis;3323;3238;4650;6685;4714;3287;8243;8109;7389;6976;7436;10606;11956;10652;8739;12384;12329;3319;3037;4310;6318;4227;2776;6297;6935;6806;7011;7529;10227;11422;10411;8873;13108;18947
31.12.2016;05962;Märkischer Kreis;5721;5404;7587;10183;6977;4929;12256;12681;11786;11198;11406;16172;19244;16503;13327;19484;19515;5381;5086;7014;9663;6525;4418;10425;11249;11152;11428;11813;16298;18722;16454;13838;21989;29058
31.12.2016;05966;Olpe, Landkreis;1955;1845;2558;3491;2483;1756;4030;4136;3943;3968;3911;5516;6409;5358;4436;6091;5717;1799;1723;2223;3255;2307;1469;3463;3768;3819;3878;3950;5364;6023;5315;4310;6195;8519
31.12.2016;05970;Siegen-Wittgenstein, Landkreis;3887;3634;4898;6438;4362;3345;9557;9975;8473;7945;7669;10436;11948;10759;9002;12862;12846;3659;3369;4477;5941;4141;3164;8820;8610;7987;7668;7434;10005;11500;10630;9383;14306;18803
31.12.2016;05974;Soest, Landkreis;4193;4142;5619;7669;5363;3974;9314;9168;8743;8639;8769;12036;13486;11967;9721;13782;13347;3966;3719;5193;7206;4723;3228;7572;7880;8195;8532;8853;11982;13229;11936;10056;15014;20439
31.12.2016;05978;Unna, Landkreis;5210;4869;6903;9201;6435;4649;11113;11177;10812;11076;11207;15203;17356;15756;13073;19534;18172;4903;4692;6435;8695;5944;4191;9828;10206;10250;11146;11517;15697;17698;16264;14408;22016;28233
31.12.2016;06411;Darmstadt, kreisfreie Stadt;2373;2228;2851;3337;2037;2145;7877;9532;6704;5320;4609;5517;5571;4793;3744;5994;5551;2387;2127;2684;3110;1896;1590;5920;7178;5820;4912;4524;5034;5435;4874;4106;7032;8625
31.12.2016;06412;Frankfurt am Main, kreisfreie Stadt;12630;11138;13853;15892;9339;6873;21112;31421;33752;30751;28125;30468;28810;22017;17331;27504;22738;12264;10761;13480;14920;8467;6303;21744;34088;34614;31026;26235;26791;26129;21485;18621;30525;35207
31.12.2016;06413;Offenbach am Main, kreisfreie Stadt;2186;2011;2517;3201;1789;1276;3838;5074;4899;4374;4216;4802;4989;4023;3193;4865;4276;2157;1918;2519;2968;1679;1178;3896;5247;4918;4433;4060;4373;4473;3928;3392;5562;6359
31.12.2016;06414;Wiesbaden, kreisfreie Stadt;4779;4047;5570;6627;4272;2968;7610;8845;9028;8984;8635;10302;11104;9035;7158;12103;11528;4518;3845;5261;6283;3824;2808;7991;9749;10013;10147;9259;10679;11080;9658;8154;14346;17409
31.12.2016;06431;Bergstraße, Landkreis;3518;3471;4738;6234;4271;3203;7582;7724;7662;7694;7512;10717;12313;10947;8905;13518;12468;3492;3319;4350;5676;3933;2749;6452;6973;7300;7720;7756;10904;12310;10926;9099;14863;17636
31.12.2016;06432;Darmstadt-Dieburg, Landkreis;4320;4160;5502;7010;4897;3709;8744;9142;8305;8818;8828;11938;13412;11326;9093;14612;12696;4025;3806;5316;6687;4449;3134;7479;8169;8084;9087;8978;11981;13285;11395;9571;15666;17120
31.12.2016;06433;Groß-Gerau, Landkreis;4451;4030;5230;6528;4340;3197;8085;8924;8905;9109;8644;10894;11794;9509;7439;11995;11174;4196;3796;5081;6099;3937;2869;7334;8507;8578;9015;8431;10311;10985;9261;7937;13388;15072
31.12.2016;06434;Hochtaunuskreis;3263;3370;5028;6245;3984;2714;5739;5498;5815;6570;7280;9850;10459;8331;6604;11471;11621;3148;3254;4658;5878;3507;2353;4954;5339;6168;7272;7950;10228;10762;8703;7209;13435;16331
31.12.2016;06435;Main-Kinzig-Kreis;5998;5608;7676;9846;6883;5058;12100;12650;12236;12569;12505;16639;18190;15878;12776;20473;18639;5500;5264;7254;9401;6234;4296;10438;11982;11793;12754;12950;16636;18055;15841;13739;22806;26048
31.12.2016;06436;Main-Taunus-Kreis;3531;3602;4977;6120;3784;2654;5827;6166;6690;7450;7659;9847;10388;8300;6255;10974;11014;3381;3336;4631;5735;3412;2228;5207;6160;7113;7882;7895;10096;10279;8474;6978;12723;14940
31.12.2016;06437;Odenwaldkreis;1235;1166;1630;2218;1544;1152;2733;2857;2630;2474;2745;3565;4301;3980;3444;5186;4792;1147;1147;1589;2120;1492;1009;2330;2504;2448;2717;2755;3740;4210;3911;3513;5405;6784
31.12.2016;06438;Offenbach, Landkreis;5433;5072;6798;8650;5569;3940;9518;10569;10694;11151;10884;13746;14998;12649;10205;16757;15773;4986;4679;6271;8028;4996;3347;8788;9967;10711;11481;10965;13761;14986;12622;11087;19105;21796
31.12.2016;06439;Rheingau-Taunus-Kreis;2429;2361;3382;4529;3044;2283;5236;4883;4830;4999;5321;7633;8623;7319;5728;9890;8933;2287;2215;3166;4201;2854;1937;4378;4285;4791;5421;5722;7733;8564;7490;6281;10709;12211
31.12.2016;06440;Wetteraukreis;4151;4119;5624;7243;5125;3703;8965;9157;8623;9018;9326;12442;13692;11517;9548;14695;13365;3918;3892;5299;6949;4631;3295;7508;8244;8464;9467;9395;12428;13728;11645;9761;15685;19292
31.12.2016;06531;Gießen, Landkreis;3753;3343;4546;5846;4010;3356;10833;11475;9040;7902;7184;9139;10429;9529;7867;11605;10922;3585;3264;4318;5489;3580;3336;11573;10595;8247;7675;7303;9343;10512;9712;8213;12547;15628
31.12.2016;06532;Lahn-Dill-Kreis;3419;3267;4677;6139;4188;3137;7689;7890;7287;7253;7164;9780;11111;10015;8165;12401;11706;3317;3089;4292;5739;3908;2740;6697;6980;6970;7213;7530;9889;11029;9934;8489;13475;17495
31.12.2016;06533;Limburg-Weilburg, Landkreis;2255;2249;3141;4323;2989;2130;5170;5311;4939;4928;4964;6706;7782;6896;5768;8315;7671;2138;2123;2982;4034;2749;1897;4364;4600;4708;4937;4971;6873;7594;6860;5822;8762;11169
31.12.2016;06534;Marburg-Biedenkopf, Landkreis;3334;3162;4366;5662;3881;3316;9561;9603;7776;7266;6834;8731;9916;9058;7270;10662;10253;3135;2983;4124;5366;3602;3163;10170;9015;7259;6963;6926;8698;9797;9027;7594;11412;15128
31.12.2016;06535;Vogelsbergkreis;1235;1313;1713;2372;1717;1322;3014;2970;2896;2870;3029;4004;4875;4751;4018;5641;5698;1208;1204;1673;2226;1557;1170;2280;2551;2499;2861;2993;3894;4659;4784;3863;5651;8226
31.12.2016;06611;Kassel, kreisfreie Stadt;2896;2676;3473;4242;2785;2327;7628;9620;7910;6047;5512;6661;7378;6464;5315;8512;7782;2886;2426;3156;3986;2539;2214;7988;8439;6551;6028;5626;6864;7622;6814;5915;9926;12854
31.12.2016;06631;Fulda, Landkreis;3145;2973;4022;5505;3869;2887;7120;7289;6804;6456;6306;8461;9621;8202;6984;9771;10270;3030;2880;3727;5240;3536;2567;6421;6723;6286;6132;6477;8366;9400;8267;6901;10592;14940
31.12.2016;06632;Hersfeld-Rotenburg, Landkreis;1628;1564;2098;2791;1950;1441;3342;3600;3383;3408;3444;4721;5255;4868;4122;6410;6418;1554;1392;1999;2696;1734;1200;2783;3116;3064;3131;3337;4577;5076;4800;4358;6576;9201
31.12.2016;06633;Kassel, Landkreis;3083;2945;4052;5200;3802;2811;6250;6349;6166;6076;6628;9410;10516;9411;7919;13369;12526;2787;2746;3800;5105;3460;2378;5151;5729;5953;6391;6837;9549;10577;9577;8314;14386;17652
31.12.2016;06634;Schwalm-Eder-Kreis;2253;2269;3123;4171;3032;2166;5362;5435;5088;5137;5267;7227;8117;7560;6268;9465;8858;2164;2150;2886;3910;2649;1854;4096;4509;4606;4836;5235;6990;7996;7360;6313;9724;13029
31.12.2016;06635;Waldeck-Frankenberg, Landkreis;2042;1982;2764;3809;2741;2064;4683;4805;4440;4166;4327;6114;7214;6490;5387;7925;7938;1934;1898;2668;3525;2419;1595;3682;3934;3866;4247;4453;6119;6925;6451;5416;8428;11516
31.12.2016;06636;Werra-Meißner-Kreis;1185;1125;1588;2167;1576;1127;3028;2862;2591;2544;2598;3781;4423;4242;3659;5717;5597;1103;1112;1552;2087;1381;1021;2421;2517;2442;2446;2655;3926;4335;4244;3649;6115;8149
31.12.2016;07111;Koblenz, kreisfreie Stadt;1561;1431;1822;2266;1446;1154;4145;5091;4385;3601;3073;3849;4105;3665;3280;5031;5150;1558;1334;1739;2009;1402;1192;4789;4787;3939;3306;3018;3758;4095;3834;3587;5799;8404
31.12.2016;07131;Ahrweiler, Landkreis;1634;1556;2151;2743;2046;1535;3598;3588;3366;3270;3223;4847;5959;5359;4486;6680;6913;1530;1549;1953;2624;1920;1396;3248;3181;3233;3430;3457;5006;5922;5315;4443;7392;9902
31.12.2016;07132;Altenkirchen (Westerwald), Landkreis;1702;1684;2373;3033;2141;1643;3862;3962;3471;3455;3577;5024;5849;5390;4335;6361;5997;1611;1613;2186;2933;1914;1485;3292;3424;3437;3540;3601;4891;5804;5150;4549;6753;8919
31.12.2016;07133;Bad Kreuznach, Landkreis;2061;2105;2830;3616;2532;1781;4187;4554;4338;4226;4215;5987;6877;6366;5399;8226;7530;2057;1952;2664;3428;2308;1628;3837;4211;4252;4394;4561;5980;7006;6602;5723;8921;11038
31.12.2016;07134;Birkenfeld, Landkreis;966;967;1326;1759;1271;895;2220;2565;2321;2109;2104;2884;3530;3533;2994;4265;4337;977;916;1239;1638;1160;816;1899;2082;2056;2016;2148;2977;3544;3492;3125;4361;6307
31.12.2016;07135;Cochem-Zell, Landkreis;701;740;1019;1395;1045;789;1728;1893;1666;1573;1618;2329;3003;2622;2270;3332;3243;705;636;961;1331;922;610;1479;1544;1417;1611;1673;2381;2785;2542;2202;3319;4780
31.12.2016;07137;Mayen-Koblenz, Landkreis;2923;2737;3734;4967;3458;2398;6020;6322;6162;6170;5952;8305;9633;8703;7434;10447;9808;2911;2626;3627;4684;3190;2299;5023;5739;5980;6269;6083;8276;9593;8686;7754;10919;14136
31.12.2016;07138;Neuwied, Landkreis;2517;2471;3279;4444;3023;2241;5290;5430;4824;4778;4819;6831;8181;7437;6063;8892;8742;2305;2279;3164;4245;2900;2072;4572;4885;4733;4990;5088;7017;8091;7449;6370;9497;12618
31.12.2016;07140;Rhein-Hunsrück-Kreis;1367;1240;1809;2391;1789;1262;2836;3015;2982;2815;2894;3895;4685;4304;3781;5236;4933;1317;1260;1601;2332;1657;1029;2414;2569;2777;2823;2827;4012;4597;4336;3714;5310;7217
31.12.2016;07141;Rhein-Lahn-Kreis;1639;1470;2138;2720;1946;1412;3305;3509;3445;3429;3472;4629;5548;5146;4200;6552;6094;1575;1453;1947;2622;1797;1257;2939;3120;3206;3376;3348;4731;5528;5117;4414;6938;8531
31.12.2016;07143;Westerwaldkreis;2827;2623;3734;5081;3354;2409;5701;5981;5625;5703;5878;8136;9538;8167;6702;9605;8856;2615;2510;3534;4762;3242;2177;4760;5392;5441;5828;5852;8157;9127;8073;6763;10029;12845
31.12.2016;07211;Trier, kreisfreie Stadt;1592;1330;1784;2184;1466;1364;5295;5833;4592;3747;3116;3696;3972;3451;2880;3995;3934;1417;1228;1572;1899;1231;1283;5583;5533;4292;3282;2929;3498;3962;3568;3138;4635;6830
31.12.2016;07231;Bernkastel-Wittlich, Landkreis;1584;1413;1859;2573;1787;1220;3076;3372;3173;3223;3266;4320;5146;4669;4064;5665;5494;1442;1301;1897;2500;1660;1199;2602;2913;2914;3171;3121;4089;5000;4587;4082;5645;7979
31.12.2016;07232;Eifelkreis Bitburg-Prüm;1432;1306;1876;2374;1608;1245;2953;3199;2938;2839;2813;3737;4619;4046;3489;4491;4322;1318;1234;1640;2185;1512;1028;2587;2781;2801;2651;2736;3702;4387;3862;3350;4520;6440
31.12.2016;07233;Vulkaneifel, Landkreis;730;708;971;1387;988;778;1709;1808;1584;1562;1632;2174;2825;2687;2328;3259;3299;706;705;938;1314;943;716;1373;1458;1495;1567;1623;2223;2755;2527;2246;3257;4482
31.12.2016;07235;Trier-Saarburg, Landkreis;2044;1981;2914;3500;2483;1722;3929;4036;4246;4471;4410;6089;6843;6070;5217;6729;6339;1987;1993;2723;3388;2227;1569;3442;3935;4219;4670;4520;5953;6690;5942;5218;6795;9539
31.12.2016;07311;Frankenthal (Pfalz), kreisfreie Stadt;782;678;860;1094;752;518;1380;1642;1485;1488;1378;1722;1930;1798;1378;2135;2463;692;633;834;1039;655;487;1333;1572;1490;1481;1325;1761;1883;1830;1587;2684;3676
31.12.2016;07312;Kaiserslautern, kreisfreie Stadt;1363;1207;1557;1937;1294;1317;5130;5390;3663;2804;2488;3265;3821;3487;2923;4197;4165;1275;1149;1467;1824;1206;1089;3739;3791;3103;2661;2578;3269;3625;3672;3253;5113;6480
31.12.2016;07313;Landau in der Pfalz, kreisfreie Stadt;669;554;760;910;672;541;1678;1809;1533;1273;1285;1645;1879;1642;1267;1874;1768;574;544;748;929;607;613;2757;1815;1426;1222;1257;1685;1893;1703;1362;2182;2930
31.12.2016;07314;Ludwigshafen am Rhein, kreisfreie Stadt;2799;2623;3391;4110;2500;1897;5296;6155;5800;5419;5292;6259;6874;5796;4541;6870;7007;2791;2445;3147;3724;2378;1898;4996;5757;5505;5296;5082;5934;6374;5612;4850;7867;10336
31.12.2016;07315;Mainz, kreisfreie Stadt;3209;2804;3631;4280;2659;2208;8600;10747;9634;7434;6275;7407;7363;6305;5140;8153;8012;2904;2586;3233;3795;2336;2277;10396;11697;9086;7097;6223;7049;7316;6652;5747;9371;11902
31.12.2016;07316;Neustadt an der Weinstraße, kreisfreie Stadt;757;652;908;1197;778;525;1425;1725;1545;1444;1323;1898;2324;2191;1795;2589;2797;713;610;902;1104;710;568;1275;1545;1446;1392;1366;1991;2316;2261;1871;3011;4255
31.12.2016;07317;Pirmasens, kreisfreie Stadt;571;485;669;815;578;468;1190;1256;1121;1057;984;1379;1674;1681;1492;1999;2265;485;447;648;780;544;411;1059;1138;1027;978;995;1386;1727;1647;1493;2313;3654
31.12.2016;07318;Speyer, kreisfreie Stadt;694;702;878;1164;763;570;1339;1547;1548;1502;1423;1887;2170;1971;1641;2340;2274;638;654;813;1111;763;531;1262;1432;1427;1514;1510;1968;2166;2072;1803;2840;3634
31.12.2016;07319;Worms, kreisfreie Stadt;1319;1194;1556;1963;1227;1012;2700;2949;2586;2522;2464;3023;3362;3051;2523;3660;3431;1233;1133;1472;1890;1185;887;2548;2666;2479;2529;2439;2848;3183;3213;2756;4241;5351
31.12.2016;07320;Zweibrücken, kreisfreie Stadt;433;418;574;744;543;383;1123;1318;1164;1041;908;1186;1346;1323;1161;1622;1725;449;442;553;705;492;350;875;1049;965;963;913;1129;1375;1451;1257;1828;2620
31.12.2016;07331;Alzey-Worms, Landkreis;1830;1771;2377;3141;2216;1574;3591;3748;3748;3887;3765;5120;5833;5495;4655;6218;4998;1763;1717;2168;2939;2029;1498;3005;3364;3493;3802;3841;5156;5887;5517;4667;6210;7174
31.12.2016;07332;Bad Dürkheim, Landkreis;1664;1646;2277;2982;2160;1539;3373;3360;3288;3442;3470;5299;6323;5726;4705;7249;6673;1638;1506;2095;2833;1923;1292;2870;3130;3276;3721;3697;5515;6177;5978;4796;7982;9355
31.12.2016;07333;Donnersbergkreis;978;964;1323;1915;1278;916;2053;2133;2014;2065;2097;2850;3542;3266;2908;3723;3282;903;916;1305;1793;1214;823;1686;1894;1949;2152;2150;2958;3517;3224;2849;3742;4821
31.12.2016;07334;Germersheim, Landkreis;1886;1747;2462;3092;2122;1486;3727;4145;3981;3924;3863;5130;5779;5273;4286;5747;5254;1744;1701;2237;2823;1891;1406;3647;3834;3688;3813;3940;5043;5579;5123;4307;6141;7384
31.12.2016;07335;Kaiserslautern, Landkreis;1498;1473;1950;2554;1841;1315;2937;2982;2953;2901;2781;3940;4618;4470;3921;5119;4730;1453;1312;1843;2342;1675;1096;2527;2838;2953;3024;2999;3990;4739;4486;3897;5305;7042
31.12.2016;07336;Kusel, Landkreis;870;854;1160;1522;1135;855;1943;1957;1949;1789;1854;2589;3299;3243;2871;3749;3534;830;790;1120;1491;958;719;1629;1850;1803;1824;1888;2636;3125;3195;2842;3811;5215
