GENESIS-Tabelle: 12411-0016
Bevölkerung: Kreise, Stichtag, Geschlecht;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
31.12.2016;14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2016;14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14280;Meißen, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-
31.12.2016;14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14290;Weißeritzkreis (bis 31.07.2008);-;-;-
31.12.2016;14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2016;14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14383;Muldentalkreis (bis 31.07.2008);-;-;-
31.12.2016;14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14511;Chemnitz, kreisfreie Stadt;121279;125074;246353
31.12.2016;14521;Erzgebirgskreis;168484;175652;344136
31.12.2016;14522;Mittelsachsen, Landkreis;154217;156288;310505
31.12.2016;14523;Vogtlandkreis;112594;118457;231051
31.12.2016;14524;Zwickau, Landkreis;156866;165233;322099
31.12.2016;14612;Dresden, kreisfreie Stadt;272398;274774;547172
31.12.2016;14625;Bautzen, Landkreis;150557;154134;304691
31.12.2016;14626;Görlitz, Landkreis;126460;131877;258337
31.12.2016;14627;Meißen, Landkreis;120270;123619;243889
31.12.2016;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;121445;124621;246066
31.12.2016;14713;Leipzig, kreisfreie Stadt;280292;290796;571088
31.12.2016;14729;Leipzig, Landkreis;126701;131632;258333
31.12.2016;14730;Nordsachsen, Landkreis;98428;99635;198063
31.12.2016;15001;Dessau-Roßlau, kreisfreie Stadt;40105;42400;82505
31.12.2016;15002;Halle (Saale), kreisfreie Stadt;115198;122807;238005
31.12.2016;15003;Magdeburg, kreisfreie Stadt;117527;120609;238136
31.12.2016;15081;Altmarkkreis Salzwedel;42579;42657;85236
31.12.2016;15082;Anhalt-Bitterfeld, Landkreis;80043;83057;163100
31.12.2016;15083;Börde, Landkreis;86387;86572;172959
31.12.2016;15084;Burgenlandkreis;90964;92210;183174
31.12.2016;15085;Harz, Landkreis;108403;111240;219643
31.12.2016;15086;Jerichower Land, Landkreis;45611;45734;91345
31.12.2016;15087;Mansfeld-Südharz, Landkreis;68902;70879;139781
31.12.2016;15088;Saalekreis;92122;93829;185951
31.12.2016;15089;Salzlandkreis;95151;99424;194575
31.12.2016;15090;Stendal, Landkreis;56664;57729;114393
31.12.2016;15091;Wittenberg, Landkreis;62798;64651;127449
31.12.2016;15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-
31.12.2016;15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15159;Köthen, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-
31.12.2016;15256;Burgenlandkreis (bis 30.06.2007);-;-;-
31.12.2016;15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15265;Saalkreis (bis 30.06.2007);-;-;-
31.12.2016;15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-
31.12.2016;15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15355;Bördekreis (bis 30.06.2007);-;-;-
31.12.2016;15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15362;Ohrekreis (bis 30.06.2007);-;-;-
31.12.2016;15363;Stendal, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-
31.12.2016;15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-
31.12.2016;16051;Erfurt, kreisfreie Stadt;102577;108536;211113
31.12.2016;16052;Gera, kreisfreie Stadt;45757;48993;94750
31.12.2016;16053;Jena, kreisfreie Stadt;54968;55353;110321
31.12.2016;16054;Suhl, kreisfreie Stadt;17337;18271;35608
31.12.2016;16055;Weimar, kreisfreie Stadt;31152;33203;64355
31.12.2016;16056;Eisenach, kreisfreie Stadt;20969;21619;42588
31.12.2016;16061;Eichsfeld, Landkreis;50772;50261;101033
31.12.2016;16062;Nordhausen, Landkreis;42163;42935;85098
31.12.2016;16063;Wartburgkreis;62377;62352;124729
31.12.2016;16064;Unstrut-Hainich-Kreis;51550;52398;103948
31.12.2016;16065;Kyffhäuserkreis;38157;38528;76685
31.12.2016;16066;Schmalkalden-Meiningen, Landkreis;61734;61772;123506
31.12.2016;16067;Gotha, Landkreis;67404;68026;135430
31.12.2016;16068;Sömmerda, Landkreis;35055;35063;70118
31.12.2016;16069;Hildburghausen, Landkreis;32207;32123;64330
31.12.2016;16070;Ilm-Kreis;54789;54378;109167
31.12.2016;16071;Weimarer Land, Landkreis;40868;41448;82316
31.12.2016;16072;Sonneberg, Landkreis;27757;28750;56507
31.12.2016;16073;Saalfeld-Rudolstadt, Landkreis;53288;55027;108315
31.12.2016;16074;Saale-Holzland-Kreis;42209;42316;84525
31.12.2016;16075;Saale-Orla-Kreis;40763;41599;82362
31.12.2016;16076;Greiz, Landkreis;49107;50610;99717
31.12.2016;16077;Altenburger Land, Landkreis;44918;46689;91607
__________
Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
(C)opyright Statistisches Bundesamt (Destatis), 2018
Stand: 04.12.2018 / 10:18:37
