ID;Kreise;Maennlich;Weiblich;Insgesamt
05966;Olpe, Landkreis;67603;67380;134983
05970;Siegen-Wittgenstein, Landkreis;138036;139897;277933
05974;Soest, Landkreis;149932;151723;301655
05978;Unna, Landkreis;191746;202123;393869
06411;Darmstadt, kreisfreie Stadt;80183;77254;157437
06412;Frankfurt am Main, kreisfreie Stadt;363754;372660;736414
06413;Offenbach am Main, kreisfreie Stadt;61529;63060;124589
06414;Wiesbaden, kreisfreie Stadt;132595;145024;277619
06431;Bergstraße, Landkreis;132477;135458;267935
06432;Darmstadt-Dieburg, Landkreis;146512;148232;294744
06433;Groß-Gerau, Landkreis;134248;134797;269045
06434;Hochtaunuskreis;113842;121149;234991
06435;Main-Kinzig-Kreis;205724;210991;416715
06436;Main-Taunus-Kreis;115238;120470;235708
06437;Odenwaldkreis;47652;48821;96473
06438;Offenbach, Landkreis;172406;177576;349982
06439;Rheingau-Taunus-Kreis;91423;94245;185668
06440;Wetteraukreis;150313;153601;303914
06531;Gießen, Landkreis;130779;134920;265699
06532;Lahn-Dill-Kreis;125288;128786;254074
06533;Limburg-Weilburg, Landkreis;85537;86583;172120
06534;Marburg-Biedenkopf, Landkreis;120651;124362;245013
06535;Vogelsbergkreis;53438;53299;106737
06611;Kassel, kreisfreie Stadt;97228;101834;199062
06631;Fulda, Landkreis;109685;111485;221170
06632;Hersfeld-Rotenburg, Landkreis;60443;60594;121037
06633;Kassel, Landkreis;116513;120392;236905
06634;Schwalm-Eder-Kreis;90798;90307;181105
06635;Waldeck-Frankenberg, Landkreis;78891;79076;157967
06636;Werra-Meißner-Kreis;49810;51155;100965
07111;Koblenz, kreisfreie Stadt;55055;58550;113605
07131;Ahrweiler, Landkreis;62954;65501;128455
07132;Altenkirchen (Westerwald), Landkreis;63859;65102;128961
07133;Bad Kreuznach, Landkreis;76830;80562;157392
07134;Birkenfeld, Landkreis;40046;40753;80799
07135;Cochem-Zell, Landkreis;30966;30898;61864
07137;Mayen-Koblenz, Landkreis;105173;107795;212968
07138;Neuwied, Landkreis;89262;92275;181537
07140;Rhein-Hunsrück-Kreis;51234;51792;103026
07141;Rhein-Lahn-Kreis;60654;61899;122553
07143;Westerwaldkreis;99920;101107;201027
07211;Trier, kreisfreie Stadt;54231;55880;110111
07231;Bernkastel-Wittlich, Landkreis;55904;56102;112006
07232;Eifelkreis Bitburg-Prüm;49287;48734;98021
07233;Vulkaneifel, Landkreis;30429;30328;60757
07235;Trier-Saarburg, Landkreis;73023;74810;147833
07311;Frankenthal (Pfalz), kreisfreie Stadt;23483;24962;48445
07312;Kaiserslautern, kreisfreie Stadt;50008;49294;99302
07313;Landau in der Pfalz, kreisfreie Stadt;21759;24247;46006
07314;Ludwigshafen am Rhein, kreisfreie Stadt;82629;83992;166621
07315;Mainz, kreisfreie Stadt;103861;109667;213528
07316;Neustadt an der Weinstraße, kreisfreie Stadt;25873;27336;53209
07317;Pirmasens, kreisfreie Stadt;19684;20732;40416
07318;Speyer, kreisfreie Stadt;24413;26138;50551
07319;Worms, kreisfreie Stadt;40542;42053;82595
07320;Zweibrücken, kreisfreie Stadt;17012;17416;34428
07331;Alzey-Worms, Landkreis;63967;64230;128197
07332;Bad Dürkheim, Landkreis;65176;67784;132960
07333;Donnersbergkreis;37307;37896;75203
07334;Germersheim, Landkreis;63904;64301;128205
07335;Kaiserslautern, Landkreis;51983;53521;105504
07336;Kusel, Landkreis;35173;35726;70899
07337;Südliche Weinstraße, Landkreis;54803;56082;110885
07338;Rhein-Pfalz-Kreis;75476;77567;153043
07339;Mainz-Bingen, Landkreis;103178;106006;209184
07340;Südwestpfalz, Landkreis;47445;48512;95957
08111;Stuttgart, kreisfreie Stadt;313295;314737;628032
08115;Böblingen, Landkreis;191570;194318;385888
08116;Esslingen, Landkreis;263708;265084;528792
08117;Göppingen, Landkreis;126630;127988;254618
08118;Ludwigsburg, Landkreis;266585;271317;537902
08119;Rems-Murr-Kreis;208845;213853;422698
08121;Heilbronn, kreisfreie Stadt;62188;61583;123771
08125;Heilbronn, Landkreis;169202;168369;337571
08126;Hohenlohekreis;55885;54804;110689
08127;Schwäbisch Hall, Landkreis;96812;96146;192958
08128;Main-Tauber-Kreis;65940;66334;132274
08135;Heidenheim, Landkreis;65404;66094;131498
08136;Ostalbkreis;155123;156464;311587
08211;Baden-Baden, kreisfreie Stadt;25920;28387;54307
08212;Karlsruhe, kreisfreie Stadt;158207;151792;309999
08215;Karlsruhe, Landkreis;219370;220967;440337
08216;Rastatt, Landkreis;113501;115406;228907
08221;Heidelberg, kreisfreie Stadt;77167;82747;159914
08222;Mannheim, kreisfreie Stadt;152203;152578;304781
08225;Neckar-Odenwald-Kreis;71981;71297;143278
08226;Rhein-Neckar-Kreis;267622;276778;544400
08231;Pforzheim, kreisfreie Stadt;60582;62911;123493
08235;Calw, Landkreis;78144;77816;155960
08236;Enzkreis;97731;99515;197246
08237;Freudenstadt, Landkreis;58132;58560;116692
08311;Freiburg im Breisgau, kreisfreie Stadt;108503;119087;227590
08315;Breisgau-Hochschwarzwald, Landkreis;128315;132101;260416
08316;Emmendingen, Landkreis;80536;82715;163251
08317;Ortenaukreis;210395;212964;423359
08325;Rottweil, Landkreis;69067;69260;138327
08326;Schwarzwald-Baar-Kreis;104236;105848;210084
08327;Tuttlingen, Landkreis;69280;68839;138119
08335;Konstanz, Landkreis;137462;144729;282191
